dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes,primary_metric,family_a,family_b,expected_biological_similarity,overlap_confidence,observed_strength,concept_relation,pair,is_mmseqs
atlas,disprot,exact,none,,,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,auroc,derived soft disorder,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,atlas vs disprot,False
atlas,plddt,exact,sequence,,,2,424,continuous,continuous,spearman,0.295052,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100,spearman,derived soft disorder,AlphaFold confidence proxy,medium,low,low,related disorder concept,atlas vs plddt,False
chezod,atlas,exact,sequence,,,2,372,continuous,continuous,spearman,0.220828,0.5,CheZOD labels negated following existing project convention,spearman,NMR chemical-shift disorder,derived soft disorder,medium,low,low,related disorder concept,chezod vs atlas,False
chezod,disprot,exact,sequence,,,1,465,continuous,binary,auroc,,0.5,CheZOD labels negated following existing project convention; AUROC/AP/F1 undefined because binary annotation has one class,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,low,no estimate,unknown or weakly related,chezod vs disprot,False
chezod,pdbflex,exact,none,,,0,0,continuous,continuous,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,no estimate,no estimate,different concept: flexibility vs disorder/proxy,chezod vs pdbflex,False
chezod,plddt,exact,sequence,,,12,1385,continuous,continuous,spearman,0.691031,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,high,medium,high,related disorder concept,chezod vs plddt,False
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,spearman,0.33254,0.5,CheZOD labels negated following existing project convention,spearman,NMR chemical-shift disorder,derived soft disorder,medium,very low,medium,related disorder concept,chezod vs softdis,False
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,spearman,0.111006,0.5,,spearman,structural flexibility/dynamics,derived soft disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs atlas,False
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,auroc,0.307951,0.5,,auroc,structural flexibility/dynamics,curated binary disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs disprot,False
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,spearman,0.0115,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100,spearman,structural flexibility/dynamics,AlphaFold confidence proxy,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs plddt,False
plddt,disprot,exact,none,,,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,auroc,AlphaFold confidence proxy,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,plddt vs disprot,False
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,spearman,0.315038,0.5,,spearman,derived soft disorder,derived soft disorder,medium,medium,medium,same annotation family,softdis vs atlas,False
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,auroc,0.929907,0.5,,auroc,derived soft disorder,curated binary disorder,high,medium,high,related disorder concept,softdis vs disprot,False
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,spearman,0.07709,0.5,,spearman,derived soft disorder,structural flexibility/dynamics,low,high,low,different concept: flexibility vs disorder/proxy,softdis vs pdbflex,False
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,spearman,0.656777,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100,spearman,derived soft disorder,AlphaFold confidence proxy,high,medium,high,related disorder concept,softdis vs plddt,False
trizod,atlas,exact,none,,,0,0,continuous,continuous,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,spearman,NMR chemical-shift disorder,derived soft disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,trizod vs atlas,False
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,spearman,0.481978,0.5,CheZOD labels negated following existing project convention,spearman,NMR chemical-shift disorder,NMR chemical-shift disorder,high,very low,medium,same annotation family,trizod vs chezod,False
trizod,disprot,exact,none,,,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,trizod vs disprot,False
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,spearman,0.174514,0.5,,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,low,low,different concept: flexibility vs disorder/proxy,trizod vs pdbflex,False
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,spearman,0.504646,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,medium,very low,medium,related disorder concept,trizod vs plddt,False
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,spearman,0.481151,0.5,,spearman,NMR chemical-shift disorder,derived soft disorder,medium,low,medium,related disorder concept,trizod vs softdis,False
atlas,disprot,mmseqs_100,mmseqs,100.0,0.8,1,60,continuous,binary,auroc,,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared; AUROC/AP/F1 undefined because binary annotation has one class,auroc,derived soft disorder,curated binary disorder,unknown/no-overlap,very low,no estimate,unknown or weakly related,atlas vs disprot,True
atlas,plddt,mmseqs_100,mmseqs,100.0,0.8,3,528,continuous,continuous,spearman,0.347832,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,medium,low,medium,related disorder concept,atlas vs plddt,True
chezod,atlas,mmseqs_100,mmseqs,100.0,0.8,1,186,continuous,continuous,spearman,0.209296,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,very low,low,related disorder concept,chezod vs atlas,True
chezod,disprot,mmseqs_100,mmseqs,100.0,0.8,2,563,continuous,binary,auroc,0.687011,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,low,medium,unknown or weakly related,chezod vs disprot,True
chezod,pdbflex,mmseqs_100,mmseqs,100.0,0.8,2,251,continuous,continuous,spearman,-0.056139,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,very low,low,different concept: flexibility vs disorder/proxy,chezod vs pdbflex,True
chezod,plddt,mmseqs_100,mmseqs,100.0,0.8,24,2769,continuous,continuous,spearman,0.55939,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,high,medium,medium,related disorder concept,chezod vs plddt,True
chezod,softdis,mmseqs_100,mmseqs,100.0,0.8,4,276,continuous,continuous,spearman,0.366461,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,very low,medium,related disorder concept,chezod vs softdis,True
pdbflex,atlas,mmseqs_100,mmseqs,100.0,0.8,30,3283,continuous,continuous,spearman,0.076226,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,derived soft disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs atlas,True
pdbflex,disprot,mmseqs_100,mmseqs,100.0,0.8,17,5577,continuous,binary,auroc,0.343245,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,structural flexibility/dynamics,curated binary disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs disprot,True
pdbflex,plddt,mmseqs_100,mmseqs,100.0,0.8,31,5551,continuous,continuous,spearman,0.203041,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,AlphaFold confidence proxy,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs plddt,True
plddt,disprot,mmseqs_100,none,100.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters",auroc,AlphaFold confidence proxy,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,plddt vs disprot,True
softdis,atlas,mmseqs_100,mmseqs,100.0,0.8,30,2678,continuous,continuous,spearman,0.321506,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,derived soft disorder,medium,medium,medium,same annotation family,softdis vs atlas,True
softdis,disprot,mmseqs_100,mmseqs,100.0,0.8,23,7024,continuous,binary,auroc,0.859898,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,high,medium,high,related disorder concept,softdis vs disprot,True
